taxa	sixhr_dmg	in_6_subset	arabi-defline	baseMean	H1U1_log2FC	I1U1_log2FC	I1H1_log2FC	H6U1_log2FC	I6U1_log2FC	I6H6_log2FC	onehr_dmg	in_1_subset	D_sixhr_dmg	D_in_6_subset	D_onehr_dmg	D_in_1_subset
Vigun01g005700	+		UDP-glucosyl transferase 88A1	46.88547724	0.119737324	-0.01968952	-0.139426844	2.410674515	2.977864066	0.56718955						
Vigun01g005800	++		UDP-glucosyl transferase 88A1	5.416560479	-0.496325844	-1.793421158	-1.297095315	3.633585751	4.379877096	0.746291345						
Vigun01g007800	+		Eukaryotic protein of unknown function (DUF842)	34.83013124	-0.951128848	-0.430280351	0.520848497	1.249312179	1.564248652	0.314936473						
Vigun01g008100	++		Plant invertase/pectin methylesterase inhibitor superfamily protein	662.5694499	3.027004569	3.424925825	0.397921256	4.486732672	5.018635399	0.531902726	++				-	
Vigun01g008600	+		SKU5 similar 1	14.24844396	0.104562944	-0.108393407	-0.212956352	1.538047555	1.237098436	-0.30094912						
Vigun01g008900	+		Haloacid dehalogenase-like hydrolase (HAD) superfamily protein	22.65762405	2.967903369	3.715015697	0.747112328	1.85164342	2.47391628	0.62227286	+				-	
Vigun01g010300	++		Major facilitator superfamily protein	5.396598203	1.499537649	2.593853256	1.094315607	5.097806193	6.610249349	1.512443156						
Vigun01g010600	++	In-amplified	NmrA-like negative transcriptional regulator family protein	78.94354327	-0.473587958	3.16650233	3.640090288	6.00098015	8.777206838	2.776226687		In-accelerated				
Vigun01g011200	+		ribosomal protein L16B	646.7517918	-0.596756721	0.513419681	1.110176402	1.200280071	1.761553137	0.561273066		In-accelerated				
Vigun01g012000	+		Ribosomal RNA adenine dimethylase family protein	66.94987724	0.24185397	0.976768028	0.734914058	1.118308117	1.909317808	0.791009692						
Vigun01g012300	++		Plant invertase/pectin methylesterase inhibitor superfamily	54.8168917	1.519844503	1.933536	0.413691497	4.765950001	4.256539021	-0.50941098	+				-	
Vigun01g015600	+		"cytochrome P450, family 78, subfamily A, polypeptide 5"	102.1452411	1.618306888	1.655141676	0.036834788	2.196242954	2.889370213	0.693127259	+				-	
Vigun01g016100	++		"DNA replication helicase, putative"	4.740928481	0.763645302	2.053568756	1.289923454	3.205964495	2.895615878	-0.310348617						
Vigun01g016200	+		zinc ion binding	4.814664799	0.975245472	1.341253606	0.366008134	2.626744993	2.06559488	-0.561150113						
Vigun01g016700	+		Ribosomal L18p/L5e family protein	26.8719556	-0.130316085	-0.570665559	-0.440349475	1.128425521	0.748516405	-0.379909116						
Vigun01g017400	++		no annotation	1.902994398	1.454130465	0.219607069	-1.234523396	3.929798959	3.409045686	-0.520753273						
Vigun01g019800	+		Ribosomal protein S19e family protein	1714.667934	-0.310861029	0.48737655	0.79823758	1.244624183	1.340086474	0.095462291						
Vigun01g020300	++		no annotation	611.7065864	3.828412814	3.906415846	0.078003031	3.788083983	4.331998416	0.543914433	++				-	
Vigun01g020400	++		no annotation	90.66766471	4.94628734	4.524316838	-0.421970502	5.800049978	4.94840737	-0.851642608	++				-	
Vigun01g020500	++		no annotation	174.9070171	4.830233568	4.630401507	-0.199832061	5.932182917	6.386787165	0.454604248	++				-	
Vigun01g020600	++		no annotation	22.89336482	4.63217697	4.908056071	0.275879101	4.50306499	5.073743673	0.570678683	++				-	
Vigun01g021900	+		ADP/ATP carrier 2	3646.479932	1.248921737	2.086751747	0.83783001	1.333775878	2.113709683	0.779933805	+				-	
Vigun01g022000	+		RING/U-box superfamily protein	9.276546272	0.445962266	0.435819139	-0.010143127	1.35396889	1.091602925	-0.262365965						
